fileName,description
20180117_A1_KB5095_S1_R1_001.fastq.gz,S1
20180117_A2_KB5095_S2_R1_001.fastq.gz,S2
20180117_A3_KB5095_S3_R1_001.fastq.gz,S3
20180117_A4_KB5095_S4_R1_001.fastq.gz,S4
20180117_B1_KB5095_S5_R1_001.fastq.gz,S5
20180117_B2_KB5095_S6_R1_001.fastq.gz,S6
20180117_B3_KB5095_S7_R1_001.fastq.gz,S7
20180117_B4_KB5095_S8_R1_001.fastq.gz,S8
20180117_C1_KB5095_S9_R1_001.fastq.gz,S9
20180117_C2_KB5095_S10_R1_001.fastq.gz,S10
20180117_C3_KB5095_S11_R1_001.fastq.gz,S11
20180117_C4_KB5095_S12_R1_001.fastq.gz,S12
20180117_D1_KB5095_S13_R1_001.fastq.gz,S13
20180117_D2_KB5095_S14_R1_001.fastq.gz,S14
20180117_D3_KB5095_S15_R1_001.fastq.gz,S15
20180117_D4_KB5095_S16_R1_001.fastq.gz,S16
20180117_E1_KB5095_S17_R1_001.fastq.gz,S17
20180117_E2_KB5095_S18_R1_001.fastq.gz,S18
20180117_E3_KB5095_S19_R1_001.fastq.gz,S19
20180117_E4_KB5095_S20_R1_001.fastq.gz,S20
